Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),Magnetic Latitude,Magnetic Longitude,MLT
02 Jan 2015 03:54:50.000,-51.791,-173.906,2304.503395,-55.10325622558594,-83.77803039550781,17.33928934733073
02 Jan 2015 03:55:00.000,-51.387,-173.759,2314.253009,-54.68159484863281,-83.91619110107422,17.33309885660807
02 Jan 2015 03:55:10.000,-50.984,-173.616,2323.947199,-54.26129913330078,-84.05226135253906,17.32704874674479
02 Jan 2015 03:55:20.000,-50.581,-173.477,2333.580056,-53.8414306640625,-84.1871337890625,17.321078491210937
02 Jan 2015 03:55:30.000,-50.179,-173.341,2343.151206,-53.4227409362793,-84.31928253173828,17.315289815266926
02 Jan 2015 03:55:40.000,-49.777,-173.209,2352.660279,-53.00450134277344,-84.45059204101562,17.309557088216145
02 Jan 2015 03:55:50.000,-49.377,-173.08,2362.106914,-52.58844757080078,-84.57891845703125,17.304023234049478
02 Jan 2015 03:56:00.000,-48.976,-172.953,2371.490755,-52.171478271484375,-84.70531463623047,17.29861806233724
02 Jan 2015 03:56:10.000,-48.577,-172.83,2380.811452,-51.756935119628906,-84.83012390136719,17.293318684895834
02 Jan 2015 03:56:20.000,-48.178,-172.71,2390.068663,-51.34268569946289,-84.9537124633789,17.28810068766276
02 Jan 2015 03:56:30.000,-47.779,-172.593,2399.262049,-50.92873001098633,-85.07621002197266,17.28295644124349
02 Jan 2015 03:56:40.000,-47.381,-172.478,2408.391282,-50.515846252441406,-85.19612121582031,17.27798360188802
02 Jan 2015 03:56:50.000,-46.984,-172.366,2417.456035,-50.10425567626953,-85.31462860107422,17.273104349772137
02 Jan 2015 03:57:00.000,-46.587,-172.257,2426.455991,-49.69300079345703,-85.43244171142578,17.268272399902344
02 Jan 2015 03:57:10.000,-46.191,-172.15,2435.390838,-49.282840728759766,-85.54805755615234,17.26358591715495
02 Jan 2015 03:57:20.000,-45.796,-172.045,2444.260269,-48.87379837036133,-85.66163635253906,17.259036254882812
02 Jan 2015 03:57:30.000,-45.401,-171.943,2453.063984,-48.465110778808594,-85.77484893798828,17.254511006673177
02 Jan 2015 03:57:40.000,-45.006,-171.843,2461.801689,-48.05657958984375,-85.88677215576172,17.250071716308593
02 Jan 2015 03:57:50.000,-44.613,-171.745,2470.473096,-47.65016174316406,-85.99642181396484,17.245782979329427
02 Jan 2015 03:58:00.000,-44.22,-171.65,2479.077922,-47.24412536621094,-86.10601043701172,17.241500345865884
