195008  25    30  24  27  23  22  23  22  28  0.85  4
195009  22    24  19  21  23  17  22  25  28  0.90  4
195010  28    27  27  28  29  26  30  30  26  0.96  4
195011  20    19  20  23  20  20  20  20  17  0.81  4
195012  16    16  15  15  14  11  15  21  17  0.73  3
195101  16    18  17  17  13  13  14  16  19  0.78  4
195102  22    28  25  23  18  17  18  22  23  0.91  4
195103  21    19  20  21  23  21  21  25  22  0.95  4
195104  27    32  30  22  24  30  27  24  29  1.07  5
195105  20    23  16  16  18  19  18  23  30  0.86  4
195106  17    18  18  18  14  17  18  15  21  0.82  4
195107  20    20  23  21  19  17  21  17  22  0.88  4
195108  22    22  21  24  20  19  22  22  23  0.96  4
195109  40    46  42  37  35  37  39  40  43  1.21  5
195110  24    24  21  21  24  20  27  31  24  0.88  4
195111  18    20  18  17  15  16  17  22  20  0.86  4
195112  20    18  22  20  21  18  19  22  21  0.86  4
195201  19    17  21  18  16  22  22  19  20  0.87  4
195202  26    28  28  27  26  22  22  26  30  1.03  5
195203  33    40  34  29  28  28  33  35  40  1.14  5
195204  34    36  31  32  32  31  35  35  38  1.13  5
195205  27    37  26  23  26  22  25  25  34  0.99  4
195206  18    15  21  20  18  19  16  15  17  0.78  4
195207  15    11  14  16  16  16  16  14  15  0.69  3
195208  13    16  15  13  11  11  11  12  12  0.65  3
195209  23    28  28  24  23  16  17  20  27  0.93  4
195210  20    22  23  19  16  17  20  22  22  0.83  4
195211  12    12  11  13  13  13  11  13  12  0.59  3
195212  15    17  16  13  14  16  14  14  17  0.71  3
195301  15    16  15  15  18  16  15  16  13  0.72  3
195302  15    17  15  17  13  12  15  14  17  0.65  3
195303  21    25  23  18  18  16  17  26  23  0.87  4
195304  16    18  19  16  14  15  14  14  14  0.76  4
195305  16    17  16  15  15  14  12  20  20  0.65  3
195306  13    10  11  16  13  13  11  16  11  0.55  2
195307  16    16  16  18  16  15  13  15  15  0.74  3
195308  19    20  21  17  18  16  20  18  20  0.79  4
195309  21    28  23  24  18  18  17  19  22  0.88  4
195310  16    16  16  17  14  16  19  16  15  0.67  3
195311  14    13  16  14  12  15  12  14  13  0.60  3
195312   7     8   6   6   6   6   7   7   9  0.32  1
195401   9    10   9   9   7   7   9   9  10  0.45  2
195402  16    17  15  14  17  16  18  16  18  0.79  4
195403  16    20  16  15  12  12  14  21  19  0.83  4
195404  14    17  17  12  10  11  10  15  18  0.69  3
195405   7     9   8   7   6   6   6   8   8  0.37  2
195406   6     6   5   6   5   6   5   7   7  0.25  1
195407   8     8   9   9   8   8   7   6   7  0.39  2
195408  10    12  11  11  10  10   7   9   9  0.53  2
195409  17    16  17  15  15  15  17  19  18  0.83  4
195410  15    16  19  15  15  13  18  11  13  0.69  3
195411   9    10  11   8   7   9  10   8   7  0.42  2
195412   6     8   7   6   6   7   5   5   7  0.29  1
195501  12    18  15  12   8  12  10  11  12  0.52  2
195502  12    13  16  10  11  11  10  11  11  0.62  3
195503  14    15  13  15  13  12  15  17  14  0.70  3
195504  14    18  14  11  11  12  10  16  20  0.66  3
195505  11    12  14  10  11  11   9  11  14  0.50  2
195506   9     9  10  10  10  10   9   8   9  0.50  2
195507   8     9   7   7   8   8   8   8   9  0.40  2
195508   9     8   8  11  11   8   7   8  10  0.42  2
195509  13    14  16  17  17  10  10   9   9  0.62  3
195510  11    10  10  12  12  11  12  13  10  0.51  2
195511  13    12  13  13  12  14  16  13  11  0.57  3
195512   8     8   9   8   7   8   8   9   9  0.40  2
195601  18    21  20  13  16  15  17  23  18  0.83  4
195602  15    15  16  20  18  14  13  15  12  0.63  3
195603  20    27  21  20  18  15  16  18  26  0.82  4
195604  27    39  40  28  25  20  19  22  28  0.94  4
195605  26    24  26  28  28  28  24  20  26  0.86  4
195606  17    17  17  18  14  16  18  16  19  0.81  4
195607  13    13  10  15  14  12  12  13  15  0.66  3
195608  15    18  12  12  15  20  19  14  14  0.65  3
195609  18    15  23  22  20  21  18  12  10  0.69  3
195610  14    13  14  15  13  14  11  15  14  0.63  3
195611  24    32  26  28  21  23  16  21  24  0.94  4
195612  10    10  10  11  12  11   9   9   9  0.54  2
195701  17    18  16  15  16  14  13  18  22  0.69  3
195702  17    18  20  16  17  15  13  17  17  0.72  3
195703  26    26  31  26  22  25  25  24  29  0.96  4
195704  21    25  23  21  18  21  21  18  25  0.93  4
195705  11     9  11  11  13  10  11  10  10  0.55  2
195706  22    18  20  17  23  25  23  23  27  0.78  4
195707  16    17  19  14  12  17  12  18  16  0.64  3
195708  14    16  14  12   9  11  14  19  14  0.63  3
195709  49    43  54  42  46  60  64  43  42  1.08  5
195710  14    16  15  13  13  12  12  14  15  0.68  3
195711  18    22  18  18  16  17  17  16  19  0.81  4
195712  18    16  22  19  20  17  16  16  17  0.84  4
195801  15    16  20  15  15  15  12  13  13  0.74  3
195802  27    35  29  30  27  26  20  26  22  0.98  5
195803  26    30  30  28  21  25  30  25  22  1.12  5
195804  20    20  23  17  16  16  21  21  25  0.89  4
195805  17    16  15  14  14  18  18  21  24  0.76  3
195806  24    31  28  24  21  20  20  24  25  0.89  4
195807  25    19  15  23  23  25  33  30  28  0.90  4
195808  18    18  21  20  19  19  15  17  12  0.71  3
195809  20    18  19  12  15  22  26  25  27  0.65  3
195810  16    12  16  20  15  14  17  18  17  0.68  3
195811   8     7   9   8   9   9   9   6   5  0.40  2
195812  15    20  14  10  12  16  14  18  17  0.70  3
195901  14    14  12  10  14  15  15  15  15  0.67  3
195902  24    21  27  25  23  26  27  22  20  0.98  4
195903  24    19  23  23  21  30  27  26  23  0.74  3
195904  17    16  15  18  16  17  17  17  17  0.70  3
195905  19    22  19  19  16  17  20  14  24  0.77  4
195906  15    14  14  14  16  21  15  14  17  0.73  3
195907  32    30  24  29  26  26  42  38  39  0.98  5
195908  23    21  24  25  22  24  28  23  21  0.87  4
195909  28    30  30  29  25  26  28  26  32  1.07  5
195910  19    18  22  18  19  16  16  20  21  0.77  3
195911  22    20  26  27  25  22  18  20  17  0.87  4
195912  19    17  17  18  21  20  22  19  18  0.83  4
196001  15    17  15  16  17  16  14  13  13  0.67  3
196002  14    15  13  13  15  15  14  13  13  0.70  3
196003  18    15  16  17  21  16  21  19  21  0.74  3
196004  42    54  53  38  31  37  43  40  39  1.16  5
196005  24    23  24  22  20  26  26  26  25  0.90  4
196006  20    24  27  20  19  14  16  20  20  0.85  4
196007  20    25  17  18  19  18  22  20  22  0.82  4
196008  20    20  28  25  17  15  21  18  16  0.81  4
196009  20    24  23  26  20  16  14  17  23  0.78  4
196010  36    37  38  33  37  34  39  35  35  1.02  4
196011  32    40  36  36  30  30  26  30  32  0.95  4
196012  21    19  26  21  20  21  20  22  20  0.94  4
196101  12    12  12  13  11  13  10  12  12  0.57  3
196102  16    15  14  15  16  17  16  14  17  0.71  3
196103  14    14  16  18  15  14  13  10  10  0.65  3
196104  14    18  18  13  12  11  13  14  14  0.65  3
196105  13    15  17  15  12  12  12  11  11  0.66  3
196106  14    14  14  12  14  15  14  13  14  0.61  3
196107  28    22  22  27  30  32  30  29  28  0.96  4
196108  11    12  13  12  10  12  10  11  11  0.51  2
196109  13    11  14  13  12  13  11  10  18  0.58  3
196110  16    21  19  17  16  14  13  17  14  0.50  2
196111  10    11   9  13   9   9   8   9  10  0.42  2
196112  12    12  11  10  11  16  14  11  13  0.47  2
196201   7     6   9   6   8   7   7   6   6  0.30  1
196202  11    10   8   8  11  12  12  12  11  0.51  2
196203   8     8   8   8   8  12   9   7   7  0.40  2
196204  14    16  15  12  13  12  17  13  14  0.66  3
196205   7     6   6   6   7   8   8   7   8  0.34  1
196206   9    10   9  10   9   9   7  10  10  0.48  2
196207  12    12  14  12  10   9  11  12  12  0.58  3
196208  15    19  17  19  13  12  11  12  16  0.73  3
196209  19    18  22  24  18  14  16  21  18  0.86  4
196210  20    22  20  20  20  20  20  20  18  0.95  4
196211  13    14  12  13  12  12  11  12  15  0.61  3
196212  13    14  12  10  10  11  14  14  16  0.56  2
196301  11    10  12  12  10  10  10  10  10  0.47  2
196302   9     8   8  11   7   8   8   9  10  0.37  2
196303   8     7   8   7   8   8   9   9   9  0.35  2
196304  10    11  10   9   8   8  10  12  10  0.49  2
196305  11    14  15  12  10   9   9   9  10  0.55  2
196306  11    15  12  11   9   8   9  12  13  0.53  2
196307  12    12  14  14   9  13  11  10  13  0.59  3
196308  13    16  14  14  11  14  11  13  14  0.65  3
196309  28    33  36  26  23  22  26  29  32  1.00  5
196310  15    18  16  13  15  11  15  17  18  0.62  3
196311  12    11  13  12  11  12  13  14  12  0.55  2
196312  11     9  10  12   8  11  11  11  12  0.50  2
196401  12    13  13  11  12  12  11  12  11  0.54  2
196402  12    11  13  11  12  10  13  12  13  0.61  3
196403  13    13  14  11  12  11  14  14  11  0.59  3
196404  13    14  11  10  12  11  14  15  18  0.64  3
196405  10    11  11  13  11  10  10  10   9  0.49  2
196406   9     8  11   9   9  10   8   7   7  0.38  2
196407   9    10   9   8   9   9   9  10  10  0.46  2
196408   8     9  10   7   6   7   7   8   9  0.35  1
196409  11    14  16  10   9   8   9  10  12  0.50  2
196410  10    11  10   9   8   9  10  10   9  0.48  2
196411   7     9   9   6   6   6   7   7   9  0.36  2
196412   5     6   5   4   4   6   5   6   6  0.22  1
196501   6     8   7   6   5   6   6   5   8  0.30  1
196502   9    10  10   9   8   8  10   9  11  0.46  2
196503   8     7   9  10   8   7   8   9   8  0.38  2
196504   8     8  11  10   7   7   8   6   5  0.31  1
196505   6     7   6   6   5   6   5   5   6  0.24  1
196506  10     9   8   7   7  11  10  13  12  0.40  2
196507   8     8   9   8   6   7   7   8   8  0.38  2
196508   9     9   8   9   6   7   7  11  11  0.42  2
196509  10    13  10  10   7   9  10  11  11  0.48  2
196510   7     9   7   6   6   6   6   7   6  0.32  1
196511   6     7   6   5   5   5   6   7   8  0.27  1
196512   7     8   7   5   6   7   8   7   9  0.35  1
196601   7     8   6   6   5   7   9   9   8  0.33  1
196602   8     8   9   8   8   8   7  10   8  0.39  2
196603  13    13  13  10  13  14  11  15  13  0.50  2
196604   7     8   8   6   5   7   6   6   7  0.33  1
196605   9     6   6   7   9  10   9  13  12  0.33  1
196606   6     8   5   4   6   6   7   8   7  0.30  1
196607   9    10  11  12   8   7   7   7   9  0.42  2
196608  11    14   9   8   9  12  10  14  14  0.49  2
196609  21    25  26  18  19  18  19  19  25  0.85  4
196610  11    10  11  10  10   9  10  12  12  0.46  2
196611   9    10  10  10   9   8  11  10   8  0.47  2
196612  11    11  11  11   9  11  15  12  12  0.54  2
196701  11    14  16  12  11  10  11   9   9  0.46  2
196702  11    10  10   9  15  12  10  11  12  0.46  2
196703   7     8   7   5   6   8  11   6   9  0.34  2
196704   9    10  10   8   8   9   9   9   7  0.44  2
196705  25    32  31  19  20  26  22  25  29  0.78  3
196706  12    22  10   8   8   8   9  14  16  0.55  2
196707   8     9   9   8   6   7   7   9   9  0.41  2
196708   9     9   7   9   9   8   9   9  10  0.45  2
196709  16    18  18  17  15  15  18  16  13  0.65  3
196710  10    10  10   8   9  11  10  10  11  0.48  2
196711  10    10  11  10   8   9  10  13  12  0.53  2
196712  14    15  14  12  13  14  15  16  15  0.65  3
196801  11    12  13  11  10  10  12  11  12  0.61  3
196802  16    17  14  17  18  16  16  16  18  0.77  4
196803  13    13  14  14  12  14  12  13  16  0.68  3
